Date Part,Data Value,Date (Months),Date (Quarters),Date (Years),Date,Indicator (group),Indicator1,Month,Number of Records,State Name1,Year
1/1/2015,61,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,New Mexico,2015
1/1/2016,57,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,New Mexico,2016
1/1/2017,69,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,New Mexico,2017
1/1/2015,39,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Cocaine,June,1,Nevada,2015
1/1/2016,39,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Cocaine,June,1,Nevada,2016
1/1/2017,55,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Cocaine,June,1,Nevada,2017
1/1/2015,84,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Heroin,June,1,Nevada,2015
1/1/2016,92,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Heroin,June,1,Nevada,2016
1/1/2017,98,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Heroin,June,1,Nevada,2017
1/1/2015,57,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Methadone,June,1,Nevada,2015
1/1/2016,58,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Methadone,June,1,Nevada,2016
1/1/2017,51,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Methadone,June,1,Nevada,2017
1/1/2015,242,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Nevada,2015
1/1/2016,266,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Nevada,2016
1/1/2017,231,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Nevada,2017
1/1/2015,23228,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Nevada,2015
1/1/2016,24153,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Nevada,2016
1/1/2017,25358,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Nevada,2017
1/1/2015,619,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Nevada,2015
1/1/2016,691,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Nevada,2016
1/1/2017,734,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Nevada,2017
1/1/2015,412,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Opioids,June,1,Nevada,2015
1/1/2016,446,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Opioids,June,1,Nevada,2016
1/1/2017,419,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Opioids,June,1,Nevada,2017
1/1/2015,95.47657512,Jun-15,2015 Q2,2015,6/1/2015,Percent with drugs specified,Percent with drugs specified,June,1,Nevada,2015
1/1/2016,96.67149059,Jun-16,2016 Q2,2016,6/1/2016,Percent with drugs specified,Percent with drugs specified,June,1,Nevada,2016
1/1/2017,98.91008174,Jun-17,2017 Q2,2017,6/1/2017,Percent with drugs specified,Percent with drugs specified,June,1,Nevada,2017
1/1/2015,166,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Psychostimulants,June,1,Nevada,2015
1/1/2016,219,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Psychostimulants,June,1,Nevada,2016
1/1/2017,284,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Psychostimulants,June,1,Nevada,2017
1/1/2015,30,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Nevada,2015
1/1/2016,44,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Nevada,2016
1/1/2017,58,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Nevada,2017
1/1/2015,326,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Cocaine,June,1,New York,2015
1/1/2016,420,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Cocaine,June,1,New York,2016
1/1/2017,577,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Cocaine,June,1,New York,2017
1/1/2015,593,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Heroin,June,1,New York,2015
1/1/2016,753,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Heroin,June,1,New York,2016
1/1/2017,738,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Heroin,June,1,New York,2017
1/1/2015,120,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Methadone,June,1,New York,2015
1/1/2016,124,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Methadone,June,1,New York,2016
1/1/2017,114,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Methadone,June,1,New York,2017
1/1/2015,434,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,New York,2015
1/1/2016,543,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,New York,2016
1/1/2017,547,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,New York,2017
1/1/2015,98695,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,New York,2015
1/1/2016,97038,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,New York,2016
1/1/2017,98499,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,New York,2017
1/1/2015,1659,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,New York,2015
1/1/2016,2056,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,New York,2016
1/1/2017,2286,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,New York,2017
1/1/2015,1310,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Opioids,June,1,New York,2015
1/1/2016,1713,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Opioids,June,1,New York,2016
1/1/2017,1963,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Opioids,June,1,New York,2017
1/1/2015,95.23809524,Jun-15,2015 Q2,2015,6/1/2015,Percent with drugs specified,Percent with drugs specified,June,1,New York,2015
1/1/2016,95.81712062,Jun-16,2016 Q2,2016,6/1/2016,Percent with drugs specified,Percent with drugs specified,June,1,New York,2016
1/1/2017,96.8503937,Jun-17,2017 Q2,2017,6/1/2017,Percent with drugs specified,Percent with drugs specified,June,1,New York,2017
1/1/2015,34,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Psychostimulants,June,1,New York,2015
1/1/2016,68,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Psychostimulants,June,1,New York,2016
1/1/2017,103,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Psychostimulants,June,1,New York,2017
1/1/2015,375,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,New York,2015
1/1/2016,809,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,New York,2016
1/1/2017,1286,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,New York,2017
1/1/2015,118270,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Ohio,2015
1/1/2016,117748,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Ohio,2016
1/1/2017,122459,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Ohio,2017
1/1/2015,3051,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Ohio,2015
1/1/2016,3652,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Ohio,2016
1/1/2017,5267,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Ohio,2017
1/1/2015,30,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Cocaine,June,1,Oklahoma,2015
1/1/2016,24,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Cocaine,June,1,Oklahoma,2016
1/1/2017,41,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Cocaine,June,1,Oklahoma,2017
1/1/2015,26,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Heroin,June,1,Oklahoma,2015
1/1/2016,44,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Heroin,June,1,Oklahoma,2016
1/1/2017,62,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Heroin,June,1,Oklahoma,2017
1/1/2015,65,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Methadone,June,1,Oklahoma,2015
1/1/2016,48,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Methadone,June,1,Oklahoma,2016
1/1/2017,39,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Methadone,June,1,Oklahoma,2017
1/1/2015,320,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Oklahoma,2015
1/1/2016,266,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Oklahoma,2016
1/1/2017,277,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Oklahoma,2017
1/1/2015,38139,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Oklahoma,2015
1/1/2016,37839,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Oklahoma,2016
1/1/2017,38853,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Oklahoma,2017
1/1/2015,738,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Oklahoma,2015
1/1/2016,727,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Oklahoma,2016
1/1/2017,845,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Oklahoma,2017
1/1/2015,470,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Opioids,June,1,Oklahoma,2015
1/1/2016,401,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Opioids,June,1,Oklahoma,2016
1/1/2017,450,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Opioids,June,1,Oklahoma,2017
1/1/2015,96.88346883,Jun-15,2015 Q2,2015,6/1/2015,Percent with drugs specified,Percent with drugs specified,June,1,Oklahoma,2015
1/1/2016,95.73590096,Jun-16,2016 Q2,2016,6/1/2016,Percent with drugs specified,Percent with drugs specified,June,1,Oklahoma,2016
1/1/2017,96.56804734,Jun-17,2017 Q2,2017,6/1/2017,Percent with drugs specified,Percent with drugs specified,June,1,Oklahoma,2017
1/1/2015,182,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Psychostimulants,June,1,Oklahoma,2015
1/1/2016,212,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Psychostimulants,June,1,Oklahoma,2016
1/1/2017,293,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Psychostimulants,June,1,Oklahoma,2017
1/1/2015,89,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Oklahoma,2015
1/1/2016,90,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Oklahoma,2016
1/1/2017,103,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Oklahoma,2017
1/1/2015,19,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Cocaine,June,1,Oregon,2015
1/1/2016,21,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Cocaine,June,1,Oregon,2016
1/1/2017,37,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Cocaine,June,1,Oregon,2017
1/1/2015,117,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Heroin,June,1,Oregon,2015
1/1/2016,121,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Heroin,June,1,Oregon,2016
1/1/2017,101,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Heroin,June,1,Oregon,2017
1/1/2015,60,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Methadone,June,1,Oregon,2015
1/1/2016,52,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Methadone,June,1,Oregon,2016
1/1/2017,43,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Methadone,June,1,Oregon,2017
1/1/2015,138,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Oregon,2015
1/1/2016,146,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Oregon,2016
1/1/2017,113,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Oregon,2017
1/1/2015,35356,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Oregon,2015
1/1/2016,35399,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Oregon,2016
1/1/2017,36850,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Oregon,2017
1/1/2015,506,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Oregon,2015
1/1/2016,521,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Oregon,2016
1/1/2017,482,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Oregon,2017
1/1/2015,335,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Opioids,June,1,Oregon,2015
1/1/2016,333,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Opioids,June,1,Oregon,2016
1/1/2017,303,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Opioids,June,1,Oregon,2017
1/1/2015,93.67588933,Jun-15,2015 Q2,2015,6/1/2015,Percent with drugs specified,Percent with drugs specified,June,1,Oregon,2015
1/1/2016,95.77735125,Jun-16,2016 Q2,2016,6/1/2016,Percent with drugs specified,Percent with drugs specified,June,1,Oregon,2016
1/1/2017,94.39834025,Jun-17,2017 Q2,2017,6/1/2017,Percent with drugs specified,Percent with drugs specified,June,1,Oregon,2017
1/1/2015,112,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Psychostimulants,June,1,Oregon,2015
1/1/2016,145,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Psychostimulants,June,1,Oregon,2016
1/1/2017,147,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Psychostimulants,June,1,Oregon,2017
1/1/2015,34,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Oregon,2015
1/1/2016,39,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Oregon,2016
1/1/2017,64,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Oregon,2017
1/1/2015,134081,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Pennsylvania,2015
1/1/2016,131297,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Pennsylvania,2016
1/1/2017,134150,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Pennsylvania,2017
1/1/2015,2964,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Pennsylvania,2015
1/1/2016,3657,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Pennsylvania,2016
1/1/2017,5417,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Pennsylvania,2017
1/1/2015,80,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Cocaine,June,1,Rhode Island,2015
1/1/2016,100,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Cocaine,June,1,Rhode Island,2016
1/1/2017,109,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Cocaine,June,1,Rhode Island,2017
1/1/2015,73,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Heroin,June,1,Rhode Island,2015
1/1/2016,38,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Heroin,June,1,Rhode Island,2016
1/1/2017,16,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Heroin,June,1,Rhode Island,2017
1/1/2015,32,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Methadone,June,1,Rhode Island,2015
1/1/2016,28,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Methadone,June,1,Rhode Island,2016
1/1/2017,34,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Methadone,June,1,Rhode Island,2017
1/1/2015,94,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Rhode Island,2015
1/1/2016,108,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Rhode Island,2016
1/1/2017,77,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,Rhode Island,2017
1/1/2015,10286,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Rhode Island,2015
1/1/2016,10072,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Rhode Island,2016
1/1/2017,10328,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,Rhode Island,2017
1/1/2015,296,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Rhode Island,2015
1/1/2016,338,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Rhode Island,2016
1/1/2017,320,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,Rhode Island,2017
1/1/2015,251,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Opioids,June,1,Rhode Island,2015
1/1/2016,279,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Opioids,June,1,Rhode Island,2016
1/1/2017,280,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Opioids,June,1,Rhode Island,2017
1/1/2015,99.66216216,Jun-15,2015 Q2,2015,6/1/2015,Percent with drugs specified,Percent with drugs specified,June,1,Rhode Island,2015
1/1/2016,99.40828402,Jun-16,2016 Q2,2016,6/1/2016,Percent with drugs specified,Percent with drugs specified,June,1,Rhode Island,2016
1/1/2017,98.125,Jun-17,2017 Q2,2017,6/1/2017,Percent with drugs specified,Percent with drugs specified,June,1,Rhode Island,2017
1/1/2015,7,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Psychostimulants,June,1,Rhode Island,2015
1/1/2016,5,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Psychostimulants,June,1,Rhode Island,2016
1/1/2017,14,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Psychostimulants,June,1,Rhode Island,2017
1/1/2015,115,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Rhode Island,2015
1/1/2016,161,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Rhode Island,2016
1/1/2017,199,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Synthetic Opioids,June,1,Rhode Island,2017
1/1/2015,99,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Cocaine,June,1,South Carolina,2015
1/1/2016,122,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Cocaine,June,1,South Carolina,2016
1/1/2017,200,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Cocaine,June,1,South Carolina,2017
1/1/2015,72,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Heroin,June,1,South Carolina,2015
1/1/2016,115,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Heroin,June,1,South Carolina,2016
1/1/2017,131,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Heroin,June,1,South Carolina,2017
1/1/2015,73,Jun-15,2015 Q2,2015,6/1/2015,All Other Drugs,Methadone,June,1,South Carolina,2015
1/1/2016,60,Jun-16,2016 Q2,2016,6/1/2016,All Other Drugs,Methadone,June,1,South Carolina,2016
1/1/2017,41,Jun-17,2017 Q2,2017,6/1/2017,All Other Drugs,Methadone,June,1,South Carolina,2017
1/1/2015,312,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,South Carolina,2015
1/1/2016,350,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,South Carolina,2016
1/1/2017,329,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Natural & Semi-Synthetic Opioids,June,1,South Carolina,2017
1/1/2015,45965,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,South Carolina,2015
1/1/2016,46325,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,South Carolina,2016
1/1/2017,47712,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Deaths,June,1,South Carolina,2017
1/1/2015,730,Jun-15,2015 Q2,2015,6/1/2015,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,South Carolina,2015
1/1/2016,804,Jun-16,2016 Q2,2016,6/1/2016,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,South Carolina,2016
1/1/2017,970,Jun-17,2017 Q2,2017,6/1/2017,Number of Deaths & Number of Drug Overdose Deaths,Number of Drug Overdose Deaths,June,1,South Carolina,2017
1/1/2015,544,Jun-15,2015 Q2,2015,6/1/2015,Opioids & Synthetic Opioids,Opioids,June,1,South Carolina,2015
1/1/2016,582,Jun-16,2016 Q2,2016,6/1/2016,Opioids & Synthetic Opioids,Opioids,June,1,South Carolina,2016
1/1/2017,689,Jun-17,2017 Q2,2017,6/1/2017,Opioids & Synthetic Opioids,Opioids,June,1,South Carolina,2017
1/1/2015,96.43835616,Jun-15,2015 Q2,2015,6/1/2015,Percent with drugs specified,Percent with drugs specified,June,1,South Carolina,2015
1/1/2016,96.64179104,Jun-16,2016 Q2,2016,6/1/2016,Percent with drugs specified,Percent with drugs specified,June,1,South Carolina,2016
1/1/2017,96.39175258,Jun-17,2017 Q2,2017,6/1/2017,Percent with drugs specified,Percent with drugs specified,June,1,South Carolina,2017
